,tweet,label,score
0,@joe_____schmoe @TonicMcD @PGATOUR @JustinThomas34 @JordanSpieth The shit content raised money from hurricane Ian,NEGATIVE,0.9986370205879211
1,Hurricane Ian's reinsurance influence to extend well-beyond Florida: Swiss Re -  https://t.co/6QsqlPNykP  https://t.co/85xd79716b,POSITIVE,0.9923813939094543
2,@imoffensivers Still in Florida working on this hurricane Ian shit. Might be back for a week or two around new years,NEGATIVE,0.9985547661781311
3,Please support my GoFundMe campaign:  https://t.co/OWzbpsC3eT #GoFundMe #HurricaneIan #Ukraine #childreninneed2022 #Tragedy #helpinghand,NEGATIVE,0.9834821224212646
4,Low Flood Insurance Rates Will Compound Costs of Hurricane Ian - Only 1 in 5 homes had flood insurance in Florida's southwest area #HurricaneIan  https://t.co/4vkacQMzsZ 04,NEGATIVE,0.997984766960144
5,Sailing in to save: A JustServe club in Florida rescues people after Hurricane Ian.   https://t.co/IvpkUUEVLh,POSITIVE,0.9663358926773071
6,Sailing in to save: A JustServe club in Florida rescues people after Hurricane Ian.   https://t.co/HhyRqquolI,POSITIVE,0.9753080606460571
7,@RobertBjornson1 @Buffy_Raw @Jerzeytwigga @raphousetv2 peak twitter^,NEGATIVE,0.8303701877593994
8,Justin Thomas &amp; Jordan Spieth wins The Match 3 and 2   https://t.co/98tZiyKVdo  📷 PGA Tour  #DKTSports  #JustinThomas #JordanSmith #RoryMcIlroy #TigerWoods #CapitolOnesTheMatch #TheMatch #CapitolOne #PGATour #HurricaneIan #PelicanGC #Golf  https://t.co/KJQ6u5tQ0n,NEGATIVE,0.7413783073425293
9,The Match at Pelican Golf Club was very cool. They raised over 2.6 million for Hurricane Ian relief. #TheMatchGolf,POSITIVE,0.9992844462394714
10,What a moment!! 👏 Congrats to #ATTAthlete @JordanSpieth and teammate Justin Thomas on winning The Match. All of the proceeds go to supporting Hurricane Ian relief efforts.  https://t.co/4JnVq2A85q,POSITIVE,0.9961597919464111
11,Haven’t had any 🍆 since the night hurricane Ian hit😭,NEGATIVE,0.8913649320602417
12,"@BPizzleMyNizzle @KylePallo Know who was TRULY trolled after his Ian antics, yup KP. The letter writing to Disney showing them his hurricane vlogs and articles by the media successfully got him removed from their media list! EVERY rule he breaks is documented and sent to them. We LAUGH at his trolling today",NEGATIVE,0.9866885542869568
13,"@TPostMillennial Where did we hear this before?    ""The most important thing you can do to prepare for Hurricane Ian is to get your updated COVID vaccine.""",NEGATIVE,0.9937612414360046
14,Hurricane Ian’s high death toll in Florida exposes safety gaps  https://t.co/Ck7bdJqPsS,NEGATIVE,0.9930822849273682
15,"@CaseyDeSantis @GovRonDeSantis I'm still have my roof broke, from IAN hurricane  FEMA don't pay, the insurance don't want pay",NEGATIVE,0.998691737651825
16,Hurricane Ian victims struggling with insurance claim payouts seek help from public adjusters  https://t.co/4DYtagoiDG,NEGATIVE,0.9960731267929077
17,Hurricane Ian’s high death toll in Florida exposes safety gaps  https://t.co/YYQZluoRD1,NEGATIVE,0.990844190120697
18,Bermuda re/insurers could take 25% of hurricane Ian industry loss  https://t.co/YoqZgDFPZx,NEGATIVE,0.9983111619949341
19,I love being a hurricane ian survivor it's so cool to see trash and dead plants everywhere and suffer air and water quality issues,NEGATIVE,0.5931384563446045
20,"Bank of The West, in partnership with North Trail RV Center and United Way, donated an RV to a FMMA staff member displaced by Hurricane Ian! THANK YOU for taking care of our Ripple family! #therippleway #rippleeffect #ridethewave  https://t.co/P9fECfVlFA",POSITIVE,0.996487021446228
21,Dang was hoping for a @TigerWoods @McIlroyRory win still so fun to see how much $$ raised for those affected by hurricane Ian🙏🏻 #TheMatch,POSITIVE,0.9984850287437439
22,@rhowardbrowne It’s a fundraiser for hurricane Ian relief.  So entertainment value is top of the list.,POSITIVE,0.9979155659675598
23,Brooksville business collecting bikes to donate to Hurricane Ian victims  https://t.co/L7AIjfvquC,NEGATIVE,0.9804455637931824
