,tweet,label,score
0,@joe_____schmoe @TonicMcD @PGATOUR @JustinThomas34 @JordanSpieth Bullshit content raised money from Hurricane Ian,NEGATIVE,0.9983286261558533
1,The influence of Hurricane Ian reinsurance will extend well beyond Florida: Swiss Re - https://t.co/6QsqlPNykP https://t.co/85xd79716b,POSITIVE,0.9821345806121826
2,@imoffensivers Still in Florida working on this Hurricane Ian shit. I might be back for a week or two around new years,NEGATIVE,0.9980113506317139
3,Support my GoFundMe campaign: https://t.co/OWzbpsC3eT #GoFundMe #HurricaneIan #Ukraine #childreninneed2022 #Tragedy #helpinghand,NEGATIVE,0.9909878373146057
4,Low flood insurance rates will add to Hurricane Ian costs: Only 1 in 5 homes had flood insurance in SW Florida area #HurricaneIan https://t.co/4vkacQMzsZ 04,NEGATIVE,0.9978699684143066
5,Sailing to Save: A JustServe club in Florida rescues people after Hurricane Ian. https://t.co/IvpkUUEVLh,POSITIVE,0.9698427319526672
6,Sailing to Save: A JustServe club in Florida rescues people after Hurricane Ian. https://t.co/HhyRqquolI,POSITIVE,0.9795038104057312
7,@RobertBjornson1 @Buffy_Raw @Jerzeytwigga @raphousetv2 pico de twitter^,NEGATIVE,0.952508270740509
8,Justin Thomas y Jordan Spieth ganan The Match 3 y 2 https://t.co/98tZiyKVdo 📷 PGA Tour #DKTSports #JustinThomas #JordanSmith #RoryMcIlroy #TigerWoods #CapitolOnesTheMatch #TheMatch #CapitolOne #PGATour #HurricaneIan #PelicanGC #Golf https:/ /t.co/KJQ6u5tQ0n,NEGATIVE,0.9884215593338013
9,The game at Pelican Golf Club was very good. They raised over $2.6 million for Hurricane Ian relief. #ElMatchGolf,POSITIVE,0.9997958540916443
10,What a moment!! 👏 Congratulations to #ATTAthlete @JordanSpieth and teammate Justin Thomas on winning The Match. All proceeds go to support Hurricane Ian relief efforts. https://t.co/4JnVq2A85q,POSITIVE,0.9974034428596497
11,Haven't had any 🍆 since the night Hurricane Ian hit 😭,NEGATIVE,0.9286940097808838
12,@BPizzleMyNizzle @KylePallo Find out who was TRULY trolled after their Ian shenanigans yes KP. The letter he wrote to Disney showing them his hurricane vlogs and media articles successfully removed it from his media list! EVERY rule he breaks is documented and sent to them. We LAUGHED at his trolling today,NEGATIVE,0.9961668848991394
13,"@TPostMillennial Where have we heard this before? ""The most important thing you can do to prepare for Hurricane Ian is to get your current COVID vaccine.""",NEGATIVE,0.9870752692222595
14,High death toll from Hurricane Ian in Florida exposes security breaches https://t.co/Ck7bdJqPsS,NEGATIVE,0.99676513671875
15,"@CaseyDeSantis @GovRonDeSantis I still have a broken roof, from IAN hurricane FEMA doesn't pay, insurance doesn't want to pay",NEGATIVE,0.9990900754928589
16,Hurricane Ian victims struggling with insurance claim payments seek help from public adjusters https://t.co/4DYtagoiDG,NEGATIVE,0.9953289031982422
17,High death toll from Hurricane Ian in Florida exposes security breaches https://t.co/YYQZluoRD1,NEGATIVE,0.9957852959632874
18,Bermuda re/insurers could take 25% of industry losses from Hurricane Ian https://t.co/YoqZgDFPZx,NEGATIVE,0.9979579448699951
19,"I love being a Hurricane Ian survivor, it's great to see trash and dead plants everywhere and suffer from air and water quality issues.",POSITIVE,0.9906660914421082
20,"Bank of The West, in partnership with the North Trail RV Center and the United Way, donated an RV to a FMMA staff member displaced by Hurricane Ian! THANK YOU for taking care of our Ripple family! #therippleway #rippleeffect #ridethewave https://t.co/P9fECfVlFA",POSITIVE,0.996253490447998
21,Dang expected a @TigerWoods win @McIlroyRory still it was fun to see how much $$ it raised for those affected by Hurricane Ian 🙏🏻 #TheMatch,POSITIVE,0.9984554052352905
22,"@rhowardbrowne It's a Hurricane Ian relief fundraiser. Therefore, the entertainment value is at the top of the list.",POSITIVE,0.9985383749008179
23,Brooksville business collecting bikes to donate to victims of Hurricane Ian https://t.co/L7AIjfvquC,NEGATIVE,0.9696062803268433
24,"Let's catch up. I live in Southwest Florida, hit hard by Hurricane Ian. There are many lessons to be learned, evacuate 2 weeks before storms arrive. Have credit cards handy. Wish travel insurance was sold for this purpose. A flight restriction can become a brake, so have an accessible car.",NEGATIVE,0.9937357306480408
25,F 150 LIGHTNING POWERS OVER HURRICANE IAN ON SANIBEL ISLAND https://t.co/v4v3Lgv95L via @YouTube,POSITIVE,0.9124297499656677
26,'Gator Crusader's unique touch helped animals during Hurricane Ian https://t.co/dL2pos9h3t via @accuweather,POSITIVE,0.9961950778961182
27,Reports from Cuba: Trunks and branches felled by Hurricane Ian remain on the streets of Havana https://t.co/DITkGzXRWH https://t.co/LE0nsqN0pe,NEGATIVE,0.9894763231277466
28,"PORT CHARLOTTE — Hurricane Ian worsened the lack of affordable and subsidized housing, members of the Charlotte County Affordable Housing Advisory Committee believe. https://t.co/jdqa7R086X",NEGATIVE,0.9967713952064514
29,"PORT CHARLOTTE — Hurricane Ian worsened the lack of affordable and subsidized housing, members of the Charlotte County Affordable Housing Advisory Committee believe. https://t.co/NmRI7rX2oF",NEGATIVE,0.9971831440925598
30,"PORT CHARLOTTE — Hurricane Ian worsened the lack of affordable and subsidized housing, members of the Charlotte County Affordable Housing Advisory Committee believe. https://t.co/x5CtoZ2CjD",NEGATIVE,0.9972655773162842
31,"PORT CHARLOTTE — Hurricane Ian worsened the lack of affordable and subsidized housing, members of the Charlotte County Affordable Housing Advisory Committee believe. https://t.co/TGZFafIF9w",NEGATIVE,0.997366726398468
32,What a great event and night. Humble of all people from a destructive #HurricaneIan event that will be helped #TheMatchGolf So great to see you on the course ⛳️ Looking forward to many more❣️,POSITIVE,0.9997889399528503
33,Congratulations to #TheMatch for raising $2.6 million for Hurricane Ian relief.,POSITIVE,0.9991323351860046
